symbol,date,regime,price_open,price_close,price_max,price_min,tick_count
BTCUSDT,2024-01-01,trending,42283.58,44179.55,44184.1,42180.77,801718
BTCUSDT,2024-01-02,volatile,44179.54,44946.91,45879.63,44148.34,1625748
BTCUSDT,2024-01-03,volatile,44946.91,42845.23,45500.0,40750.0,1885957
BTCUSDT,2024-01-04,trending,42845.23,44151.1,44729.58,42613.77,1284982
BTCUSDT,2024-01-05,mean_reverting,44151.1,44145.11,44357.46,42450.0,1454053
BTCUSDT,2024-01-06,volatile,44145.12,43968.32,44214.42,43397.05,697577
BTCUSDT,2024-01-07,mean_reverting,43968.32,43929.02,44480.59,43572.09,778607
BTCUSDT,2024-01-08,trending,43929.01,46951.04,47248.99,43175.0,1648401
BTCUSDT,2024-01-09,volatile,46951.04,46110.0,47972.0,44748.67,1878561
BTCUSDT,2024-01-10,mean_reverting,46110.0,46653.99,47695.93,44300.36,2212167
BTCUSDT,2024-01-11,mean_reverting,46654.0,46339.16,48969.48,45606.06,2113650
BTCUSDT,2024-01-12,trending,46339.16,42782.73,46515.53,41500.0,1955778
BTCUSDT,2024-01-13,mean_reverting,42782.74,42847.99,43257.0,42436.12,1001160
BTCUSDT,2024-01-14,trending,42847.99,41732.35,43079.0,41720.0,849612
BTCUSDT,2024-01-15,volatile,41732.35,42511.1,43400.43,41718.05,1042905
BTCUSDT,2024-01-16,volatile,42511.1,43137.94,43578.01,42050.0,1101608
BTCUSDT,2024-01-17,volatile,43137.94,42776.1,43198.0,42200.69,889506
BTCUSDT,2024-01-18,trending,42776.09,41327.51,42930.0,40683.28,945251
BTCUSDT,2024-01-19,mean_reverting,41327.51,41659.03,42196.86,40280.0,1113330
BTCUSDT,2024-01-20,mean_reverting,41659.03,41696.04,41872.56,41456.3,560580
BTCUSDT,2024-01-21,volatile,41696.05,41580.33,41881.39,41500.98,459638
BTCUSDT,2024-01-22,trending,41580.32,39568.02,41689.65,39431.58,1330637
BTCUSDT,2024-01-23,volatile,39568.02,39897.6,40176.74,38555.0,1331912
BTCUSDT,2024-01-24,mean_reverting,39897.6,40084.88,40555.0,39484.19,1068907
BTCUSDT,2024-01-25,mean_reverting,40084.89,39961.09,40300.24,39550.0,830506
BTCUSDT,2024-01-26,trending,39961.09,41823.51,42246.82,39822.52,1091558
BTCUSDT,2024-01-27,volatile,41823.51,42120.63,42200.0,41394.34,565364
BTCUSDT,2024-01-28,mean_reverting,42120.63,42031.06,42842.68,41620.81,722629
BTCUSDT,2024-01-29,trending,42031.05,43302.7,43333.0,41804.88,864528
BTCUSDT,2024-01-30,volatile,43302.71,42941.1,43882.36,42683.99,969137
BTCUSDT,2024-01-31,volatile,42941.1,42580.0,43745.11,42276.84,1127214
ETHUSDT,2024-01-01,trending,2281.87,2352.05,2352.37,2265.24,370737
ETHUSDT,2024-01-02,mean_reverting,2352.05,2355.34,2431.3,2341.0,705436
ETHUSDT,2024-01-03,volatile,2355.35,2209.72,2385.45,2100.0,926265
ETHUSDT,2024-01-04,trending,2209.72,2267.11,2294.69,2201.91,546669
ETHUSDT,2024-01-05,mean_reverting,2267.11,2268.78,2277.21,2206.17,530862
ETHUSDT,2024-01-06,volatile,2268.78,2240.78,2270.0,2216.4,317784
ETHUSDT,2024-01-07,volatile,2240.77,2221.42,2258.01,2203.46,353915
ETHUSDT,2024-01-08,volatile,2221.42,2330.44,2358.2,2166.38,730979
ETHUSDT,2024-01-09,mean_reverting,2330.43,2344.29,2371.72,2226.78,809658
ETHUSDT,2024-01-10,trending,2344.3,2584.38,2643.1,2339.59,1357508
ETHUSDT,2024-01-11,volatile,2584.37,2618.01,2689.39,2566.01,1192263
ETHUSDT,2024-01-12,volatile,2618.01,2522.54,2717.32,2458.0,1295325
ETHUSDT,2024-01-13,trending,2522.55,2578.19,2590.0,2497.5,631299
ETHUSDT,2024-01-14,trending,2578.18,2472.86,2578.69,2470.0,517155
ETHUSDT,2024-01-15,volatile,2472.87,2511.78,2553.82,2470.92,551041
ETHUSDT,2024-01-16,trending,2511.79,2587.4,2614.43,2500.05,778300
ETHUSDT,2024-01-17,trending,2587.41,2530.19,2592.97,2506.75,738196
ETHUSDT,2024-01-18,volatile,2530.19,2470.81,2550.0,2428.56,608963
ETHUSDT,2024-01-19,volatile,2470.81,2492.0,2504.2,2415.2,589440
ETHUSDT,2024-01-20,volatile,2491.99,2472.01,2492.0,2454.2,299071
ETHUSDT,2024-01-21,volatile,2472.02,2457.05,2482.18,2452.13,255598
ETHUSDT,2024-01-22,trending,2457.06,2314.2,2466.1,2303.59,621610
ETHUSDT,2024-01-23,volatile,2314.19,2242.6,2352.23,2168.07,803225
ETHUSDT,2024-01-24,mean_reverting,2242.6,2235.03,2264.6,2196.12,536564
ETHUSDT,2024-01-25,volatile,2235.02,2218.64,2242.89,2171.3,505064
ETHUSDT,2024-01-26,volatile,2218.64,2267.68,2282.36,2195.84,553415
ETHUSDT,2024-01-27,mean_reverting,2267.67,2267.93,2282.94,2251.4,289295
ETHUSDT,2024-01-28,mean_reverting,2267.94,2256.9,2308.24,2239.89,383289
ETHUSDT,2024-01-29,trending,2256.9,2317.6,2322.34,2233.8,460607
ETHUSDT,2024-01-30,volatile,2317.61,2343.0,2391.98,2297.0,518967
ETHUSDT,2024-01-31,trending,2343.01,2283.14,2351.6,2263.57,594839
SOLUSDT,2024-01-01,trending,101.72,109.91,109.93,101.44,248306
SOLUSDT,2024-01-02,volatile,109.93,106.73,116.95,106.02,445921
SOLUSDT,2024-01-03,volatile,106.72,98.52,109.9,85.0,676203
SOLUSDT,2024-01-04,volatile,98.52,104.91,108.15,96.6,368092
SOLUSDT,2024-01-05,volatile,104.91,99.94,105.48,95.23,351752
SOLUSDT,2024-01-06,trending,99.93,93.77,100.3,91.53,279956
SOLUSDT,2024-01-07,volatile,93.77,89.44,96.8,87.68,267035
SOLUSDT,2024-01-08,volatile,89.44,97.88,99.97,85.16,458830
SOLUSDT,2024-01-09,mean_reverting,97.88,99.36,104.89,95.25,567955
SOLUSDT,2024-01-10,mean_reverting,99.36,102.0,105.52,91.68,542247
SOLUSDT,2024-01-11,volatile,101.99,99.9,107.32,97.67,614282
SOLUSDT,2024-01-12,volatile,99.89,92.12,100.49,87.0,397644
SOLUSDT,2024-01-13,volatile,92.14,95.85,97.05,89.51,218675
SOLUSDT,2024-01-14,volatile,95.85,93.81,102.87,93.62,314193
SOLUSDT,2024-01-15,mean_reverting,93.81,94.36,96.96,92.97,198382
SOLUSDT,2024-01-16,trending,94.35,97.61,98.73,94.16,197201
SOLUSDT,2024-01-17,trending,97.6,102.1,102.8,96.5,357031
SOLUSDT,2024-01-18,trending,102.1,94.4,103.59,91.41,305334
SOLUSDT,2024-01-19,mean_reverting,94.39,93.62,95.47,87.04,298435
SOLUSDT,2024-01-20,mean_reverting,93.62,92.88,94.27,90.2,135465
SOLUSDT,2024-01-21,volatile,92.88,91.09,93.93,90.79,107344
SOLUSDT,2024-01-22,trending,91.08,83.84,91.9,82.06,313561
SOLUSDT,2024-01-23,mean_reverting,83.84,84.35,86.0,79.0,347355
SOLUSDT,2024-01-24,trending,84.36,88.78,89.47,83.3,238629
SOLUSDT,2024-01-25,volatile,88.77,86.91,89.64,85.09,197268
SOLUSDT,2024-01-26,trending,86.9,92.28,93.72,85.96,235386
SOLUSDT,2024-01-27,volatile,92.29,94.28,94.5,90.68,139028
SOLUSDT,2024-01-28,volatile,94.27,95.98,99.44,93.31,256576
SOLUSDT,2024-01-29,trending,95.99,101.68,101.98,95.06,253676
SOLUSDT,2024-01-30,mean_reverting,101.67,101.4,106.49,100.95,302871
SOLUSDT,2024-01-31,trending,101.4,96.96,102.73,95.9,363042
XRPUSDT,2024-01-01,trending,0.6155,0.6294,0.6309,0.6083,62306
XRPUSDT,2024-01-02,volatile,0.6295,0.6246,0.6405,0.6213,111817
XRPUSDT,2024-01-03,volatile,0.6245,0.5823,0.6394,0.5,337556
XRPUSDT,2024-01-04,mean_reverting,0.5823,0.5868,0.5938,0.5692,123662
XRPUSDT,2024-01-05,volatile,0.5868,0.5757,0.5885,0.553,127872
XRPUSDT,2024-01-06,volatile,0.5758,0.5679,0.5758,0.5568,96029
XRPUSDT,2024-01-07,volatile,0.568,0.5515,0.573,0.5454,141746
XRPUSDT,2024-01-08,trending,0.5515,0.5776,0.5821,0.5442,178048
XRPUSDT,2024-01-09,volatile,0.5776,0.5669,0.5793,0.5531,163405
XRPUSDT,2024-01-10,volatile,0.567,0.6008,0.615,0.5489,206221
XRPUSDT,2024-01-11,mean_reverting,0.6008,0.6019,0.624,0.5856,192629
XRPUSDT,2024-01-12,trending,0.6019,0.5699,0.6035,0.5515,162233
XRPUSDT,2024-01-13,volatile,0.5699,0.5747,0.5775,0.563,65864
XRPUSDT,2024-01-14,mean_reverting,0.5746,0.5763,0.5932,0.5717,86242
XRPUSDT,2024-01-15,mean_reverting,0.5763,0.5757,0.5895,0.5687,92053
XRPUSDT,2024-01-16,mean_reverting,0.5757,0.5757,0.5797,0.5659,82616
XRPUSDT,2024-01-17,volatile,0.5758,0.5685,0.5763,0.5611,73539
XRPUSDT,2024-01-18,trending,0.5685,0.552,0.569,0.543,87020
XRPUSDT,2024-01-19,volatile,0.552,0.5443,0.5537,0.5216,110929
XRPUSDT,2024-01-20,volatile,0.5443,0.5534,0.5551,0.539,54398
XRPUSDT,2024-01-21,trending,0.5534,0.5464,0.5552,0.5451,44785
XRPUSDT,2024-01-22,volatile,0.5464,0.5275,0.5497,0.5169,103992
XRPUSDT,2024-01-23,volatile,0.5275,0.5183,0.5318,0.4962,125689
XRPUSDT,2024-01-24,mean_reverting,0.5183,0.5181,0.5194,0.511,69022
XRPUSDT,2024-01-25,volatile,0.5182,0.5138,0.5182,0.5037,67771
XRPUSDT,2024-01-26,trending,0.5139,0.5323,0.5368,0.5084,78847
XRPUSDT,2024-01-27,volatile,0.5322,0.5303,0.5349,0.5262,41646
XRPUSDT,2024-01-28,volatile,0.5304,0.5241,0.5355,0.5211,47111
XRPUSDT,2024-01-29,volatile,0.5242,0.5352,0.54,0.5193,75814
XRPUSDT,2024-01-30,trending,0.5351,0.5107,0.5393,0.5071,142747
XRPUSDT,2024-01-31,volatile,0.5106,0.5033,0.5144,0.4853,121218
BNBUSDT,2024-01-01,mean_reverting,311.9,313.5,316.0,307.0,147910
BNBUSDT,2024-01-02,mean_reverting,313.5,312.2,321.3,305.8,165603
BNBUSDT,2024-01-03,mean_reverting,312.3,315.8,334.3,293.6,365136
BNBUSDT,2024-01-04,volatile,315.9,323.7,324.3,310.9,210196
BNBUSDT,2024-01-05,volatile,323.6,317.5,327.3,308.6,185629
BNBUSDT,2024-01-06,volatile,317.6,307.5,317.6,300.2,166892
BNBUSDT,2024-01-07,volatile,307.6,302.4,310.0,300.0,113883
BNBUSDT,2024-01-08,mean_reverting,302.5,303.7,308.1,290.0,181435
BNBUSDT,2024-01-09,volatile,303.6,301.1,306.8,295.7,220896
BNBUSDT,2024-01-10,volatile,301.1,305.8,310.0,288.8,200095
BNBUSDT,2024-01-11,mean_reverting,305.7,308.2,316.8,301.4,211670
BNBUSDT,2024-01-12,volatile,308.2,296.6,313.0,289.1,180696
BNBUSDT,2024-01-13,volatile,296.7,302.2,303.1,290.8,115561
BNBUSDT,2024-01-14,volatile,302.2,299.5,306.7,298.7,112703
BNBUSDT,2024-01-15,trending,299.4,317.5,320.6,299.4,247602
BNBUSDT,2024-01-16,volatile,317.6,315.2,319.4,313.0,171343
BNBUSDT,2024-01-17,trending,315.1,309.4,316.3,306.8,159129
BNBUSDT,2024-01-18,volatile,309.3,313.0,315.6,305.7,163400
BNBUSDT,2024-01-19,mean_reverting,313.0,314.7,316.2,305.0,146210
